domain,col_nm,values
날짜,INP_TM,"['084458', '085538', '885531', '182653', '084258', '012653', '086531', '084218', '104245', '085653', '082353', '103645', '084288', '082663', '894510', '094510', '094560', '794510', '594510', '194510', '055531', '084251', '903245', '894510', '094516', '085530', '084250', '984258', '803245', '084278', '086653', '882653', '002653', '085537', '985531', '603245', '084358', '085431', '082643', '094110', '103245', '094590', '082353', '082153', '082653', '885531', '005531', '085551', '094511', '163245', '086258', '085521', '084458', '103275', '084158', '082603', '183245', '084858', '103246', '082353', '403245', '094570', '123245', '084259', '085231', '106245', '082693', '103745', '082658', '103275', '103245', '082258', '082643', '084251', '085531', '085532', '015531', '083653', '085258', '103745', '103945', '103285', '094810', '085581', '093510', '055531', '089258', '094590', '582653', '084510', '094514', '082531', '184258', '024510', '109245', '294510', '082153', '088531', '094510', '103245']"
번호,UPT_USR_ID,"['korfi_8', 'kokbi_5', 'kohbi_8', 'sgw1', 'karbi05', 'ega1', 'sha1', 'korei_5', 'koobi_8', 'korii05', 'kdrbi_5', 'korbi03', 'korui_5', 'knrbi_8', 'vorbi_8', 'sma1', 'lorbi_8', 'nonpsint', 'korwi_8', 'yga1', 'korbi_0', 'sga1', 'zorbi_8', 'kojbi_5', 'konbi_8', 'nonpoipt', 'korbi01', 'korbi_8', 'nonpoinc', 'nonpodnt', 'korbi_8', 'jorbi_8', 'nolpoint', 'korbh_8', 'korii05', 'kcrbi_8', 'sgr1', 'nonjoint', 'kjrbi_5', 'nongoint', 'korba_8', 'nonhoint', 'korbi_3', 'sgu1', 'kbrbi_5', 'korbi_9', 'oonpoint', 'sma1', 'korbi55', 'sgf1', 'korbi_8', 'sga9', 'sgf1', 'korbw_8', 'nonpfint', 'kgrbi_8', 'qga1', 'nonprint', 'korbi_2', 'kodbi_8', 'korbi_8', 'yga1', 'korbi05', 'korfi05', 'porbi_8', 'kordi_8', 'zonpoint', 'novpoint', 'korci_5', 'koebi_5', 'korbi_1', 'sra1', 'vga1', 'nogpoint', 'nnnpoint', 'korbi_5', 'korki05', 'sga3', 'kofbi_8', 'forbi_5', 'sfa1', 'nospoint', 'klrbi_5', 'sga7', 'zorbi05', 'zga1', 'nonpoznt', 'korbi_0', 'noupoint', 'korbi_7', 'rga1', 'korbi_8', 'korbi_7', 'kprbi_5', 'korbi_0', 'korbi05', 'nonphint', 'ktrbi_8', 'sgl1', 'lorbi_8']"
날짜,UPT_DT,"['20200531', '20210927', '20241108', '20210922', '20220509', '20210929', '29220616', '20261108', '70200331', '20520616', '20222616', '20810929', '20420502', '20227502', '20000331', '20210029', '20211608', '20200361', '20223502', '29220502', '20200631', '24220616', '20211128', '20220619', '20200331', '20205331', '20231108', '20220676', '20210969', '20220502', '25200331', '20222502', '20400331', '21220502', '20210969', '23220616', '20210969', '20220202', '20251108', '20820616', '20610929', '20610929', '28220616', '22220502', '20200332', '20225502', '20216108', '22211108', '20200351', '20220816', '20220614', '20220502', '20211108', '20281108', '20200332', '20210616', '20211198', '24220502', '25210929', '23210929', '27211108', '20211104', '20210929', '20200351', '20020616', '20210029', '20207331', '20200391', '20200331', '20220612', '20220416', '20211101', '20209331', '20120502', '60210929', '10220616', '20209331', '60210929', '20260616', '20000331', '20200391', '20200231', '20220616', '20200336', '80220502', '20230929', '20228616', '21200331', '26220616', '20250331', '20210108', '20200331', '80220616', '20211104', '20220508', '20211508', '20220002', '20227616', '20223502', '26210929']"
날짜,UPT_TM,"['084298', '085533', '032653', '094516', '109245', '103945', '082153', '982653', '603245', '494510', '294510', '903245', '084258', '103275', '094540', '885531', '082651', '084531', '094550', '183245', '082553', '082653', '085131', '084257', '103245', '082353', '094570', '803245', '485531', '105245', '882653', '004258', '103285', '103240', '044258', '094515', '694510', '094210', '184258', '084298', '103215', '082453', '096510', '082853', '095531', '084653', '091510', '082633', '094500', '094516', '064258', '084288', '084250', '885531', '085031', '082653', '094570', '097510', '089653', '084208', '182653', '103145', '103247', '143245', '096510', '082953', '084458', '085533', '094258', '085535', '103241', '085258', '082353', '065531', '103545', '494510', '094560', '109245', '084358', '084257', '095510', '085031', '085521', '085631', '082653', '103243', '085831', '022653', '082353', '084558', '085534', '082659', '603245', '094515', '984258', '585531', '082603', '084258', '085561', '082633']"
번호,MBL_TEL,"['31071375968', '01041295534', '01071379968', '01020467924', '01041591874', '01041541874', '01071375968', '01071375988', '01741551874', '01071375908', '01541551874', '01047551874', '01047295554', '01441551874', '01046551874', '01033734738', '01041551274', '91071375968', '04020467923', '01047292534', '01241551874', '01011375968', '01041554874', '01081375968', '01071375968', '01071376968', '01071375968', '09071375968', '01033734037', '01041251874', '01041551074', '01047495534', '01541551874', '01241551874', '01041591874', '01020767923', '01074375968', '01067295534', '01048295534', '01020461923', '01047295537', '04041551874', '01041551814', '01021467923', '01041751874', '01033734537', '01041551874', '61033734737', '61033734737', '01033234737', '01071551874', '01033794737', '01071375768', '01071375768', '01041551873', '03047295534', '01041558874', '01033734727', '01041501874', '01031551874', '01041553874', '01041553874', '01271375968', '01042551874', '01071375928', '03033734737', '02033734737', '01071385968', '01041551854', '03033734737', '01020467923', '01020067923', '01071375568', '01033734737', '91071375968', '01023734737', '01020467923', '01047095534', '01081375968', '01011375968', '01047295534', '01041551074', '01020467933', '01067295534', '01071377968', '01020467993', '01033734937', '11033734737', '01020467923', '01047295594', '01041551674', '01041551894', '61071375968', '01041551874', '01071375961', '01041551874', '01020467523', '01033734777', '01047295234', '01031375968']"
날짜,TRN_DTM,"['25200406120517', '20200406442702', '20270406120517', '20200805130711', '30200406120517', '20200406120537', '20200406142701', '20210406120409', '20800406142526', '20200406120514', '20230406120517', '20200406142702', '20200406142526', '25200406142526', '20200406142546', '20200406120517', '20200406120402', '20200406120017', '20200406126409', '20200805135711', '20207406120409', '20800406120517', '20200466142526', '20200401120517', '20200406142526', '20200406842702', '20800406142526', '20207805130711', '20600805130711', '20202406142702', '20200805137711', '20200406120409', '26200406120409', '20200406192702', '22200805130711', '20100406142702', '20200402120517', '20200406141526', '20200406120507', '20200406170409', '20206406142702', '20200406148526', '20201406142702', '20200406142527', '20200306142702', '20200105130711', '20200406942526', '20500406142526', '20200406542702', '20200406120512', '20200306120409', '20200815130711', '20200446120517', '20200406112702', '20200406120587', '20200403120517', '20210406120517', '22200406142526', '20200805130711', '20200436142702', '20200406132526', '20200406147702', '20200306142702', '20200406142525', '20300805130711', '26200406142702', '20200815130711', '20200406120417', '20200406142705', '20200406520409', '22200406142702', '20200406149702', '20200406120404', '20200456142526', '20300406142702', '20200446142702', '20200406120517', '30200406142526', '20200805130711', '20200406142726', '20200406144702', '20200505130711', '20200436120517', '20300406142526', '20200805132711', '20200406120419', '20400406142526', '20200406142742', '20200805230711', '20200406143702', '20207406120409', '20200406100409', '20700406120409', '20200306142702', '20260406142702', '20240805130711', '20200406120597', '20260406142526', '20200406142702', '20250805130711']"
번호,USR_ID,"['kimkh09', 'weaktezt1', 'dahknit1', 'kimkh69', 'weactest1', 'dapanit1', '20190287', 'dasanit1', 'weaitest1', 'dahanij1', 'weakhest1', '20140280', 'sla1', 'mimkh19', 'weaktest6', 'kimkh16', 'dahanht1', 'dahanit3', 'kimzh19', 'jga1', 'dahanot1', 'weakteyt1', 'weaknest1', 'hga1', 'sga7', 'kimkh69', 'sea1', '20195280', 'yga1', 'weamtest1', 'kymkh19', '20490280', 'sca1', '20190288', 'aimkh19', 'dzhanit1', '20190285', 'sga6', 'kimkh49', 'weqktest1', 'kimkw19', 'dahaniv1', '28190280', 'sge1', 'drhanit1', '40190280', 'dahanit3', 'kimkh09', 'kimkh29', '20150280', 'dafanit1', '20190280', 'sgr1', 'gimkh19', '20590280', 'dahynit1', 'weakteet1', 'sgk1', 'dahknit1', 'wewktest1', '20197280', 'dayanit1', 'gga1', '20198280', '20190280', 'kimku19', 'weaktest6', 'kiwkh19', 'sgx1', '20690280', 'kjmkh19', 'sgx1', 'damanit1', 'weaktept1', '20190290', 'kimkw19', '20190270', 'sna1', 'kimkh29', 'weakmest1', 'dahamit1', 'sga6', 'weaktdst1', 'kiwkh19', 'dahnnit1', 'sgu1', 'sga6', 'weakdest1', 'tga1', 'sla1', 'dahanic1', 'dahhnit1', '20180280', 'ssa1', 'weaktnst1', 'kiakh19', 'gimkh19', 'kimkc19', 'cga1', 'weaktesj1']"
번호,CERT_NO,"['118276', '148612', '151368', '154364', '140514', '148933', '118876', '148032', '148638', '140017', '151324', '618476', '157364', '148732', '148638', '140517', '144517', '151314', '138476', '108476', '151664', '951364', '168476', '153364', '141333', '118276', '418476', '148632', '148033', '140512', '148533', '151364', '112476', '138476', '148333', '138476', '149333', '110476', '140632', '248333', '142517', '140513', '148632', '147517', '148333', '140557', '128632', '148233', '143517', '148634', '160517', '198632', '151464', '248333', '191364', '110476', '148637', '154364', '180517', '140517', '140517', '151368', '143333', '148476', '151364', '178632', '190517', '198476', '118473', '240517', '140587', '140557', '848632', '140547', '118476', '150364', '188333', '148339', '148630', '191364', '251364', '120517', '140717', '140547', '151365', '158364', '418476', '140577', '116476', '148612', '130517', '144517', '151394', '180517', '191364', '518476', '148933', '148632', '140333', '148642']"
여부,CERT_CNF,"['Y', 'N', 'N', 'N', 'Y', 'Y', 'N', 'N', 'N', 'N', 'N', 'N', 'N', 'Y', 'N', 'N', 'N', 'N', 'Y', 'Y', 'N', 'N', 'Y', 'Y', 'N', 'N', 'Y', 'N', 'N', 'N', 'Y', 'N', 'Y', 'Y', 'Y', 'N', 'Y', 'Y', 'N', 'N', 'Y', 'N', 'Y', 'N', 'Y', 'Y', 'N', 'Y', 'N', 'N', 'Y', 'Y', 'Y', 'N', 'Y', 'N', 'Y', 'Y', 'N', 'N', 'N', 'Y', 'Y', 'Y', 'N', 'N', 'N', 'Y', 'Y', 'Y', 'N', 'N', 'Y', 'N', 'N', 'N', 'Y', 'N', 'Y', 'N', 'N', 'Y', 'N', 'Y', 'N', 'N', 'N', 'N', 'Y', 'Y', 'N', 'N', 'N', 'Y', 'N', 'Y', 'Y', 'N', 'Y', 'Y']"
코드,CERT_KND_CD,"['IS', 'IB', 'IX', 'ED', 'PD', 'IX', 'CD', 'YD', 'IY', 'IB', 'AD', 'IM', 'ID', 'IK', 'KD', 'IP', 'IU', 'DD', 'XD', 'IQ', 'AD', 'WD', 'IY', 'ID', 'XD', 'IH', 'JD', 'FD', 'IP', 'IP', 'IE', 'IS', 'IJ', 'WD', 'IW', 'WD', 'VD', 'ID', 'IW', 'BD', 'IT', 'IL', 'IM', 'ID', 'MD', 'VD', 'SD', 'SD', 'ND', 'PD', 'SD', 'SD', 'YD', 'HD', 'VD', 'ID', 'KD', 'II', 'IR', 'XD', 'IF', 'IT', 'IS', 'TD', 'IS', 'GD', 'IA', 'DD', 'MD', 'YD', 'RD', 'BD', 'IO', 'IV', 'OD', 'ZD', 'PD', 'IO', 'IG', 'RD', 'ZD', 'QD', 'GD', 'IH', 'RD', 'IX', 'IS', 'IT', 'IJ', 'KD', 'IK', 'IA', 'IT', 'ND', 'IU', 'IN', 'FD', 'IR', 'IG', 'FD']"
