domain,col_nm,values
날짜,INP_DT,"['20171008', '80191004', '20101008', '90190926', '20800108', '90191008', '80191004', '20191004', '20191207', '20190923', '20191024', '20131008', '20191034', '20191058', '20193008', '20191307', '20140926', '20111008', '20191004', '20191058', '80191004', '20191007', '20190626', '20190906', '28190926', '25191008', '60191004', '80190926', '20190936', '20199004', '20190976', '20191007', '20191024', '20192008', '20191017', '20100926', '20691004', '20200108', '20191707', '20193926', '27191007', '20190916', '20191024', '23191007', '20194008', '40200108', '20491004', '20191208', '20200103', '20190926', '20199007', '20200108', '20190008', '20160926', '20140926', '20400108', '20111007', '20131004', '20141004', '20190920', '20691004', '20200109', '20121007', '20280108', '20191038', '27191007', '20191007', '20171004', '20192007', '20191704', '20191507', '20190726', '20191608', '20200105', '20190922', '23191004', '20200108', '20190026', '50200108', '10190926', '20191008', '20191904', '20190726', '70191007', '25191008', '21191004', '20161008', '20196926', '20190923', '20191507', '20991008', '20191001', '20191208', '20170926', '20200105', '50191004', '20190923', '20200108', '20280108', '20191067']"
날짜,INP_TM,"['160035', '100000', '140257', '110529', '118539', '160045', '114539', '140257', '140157', '795635', '094635', '149257', '110045', '095235', '100257', '180045', '110000', '095535', '150000', '110045', '160055', '460045', '395635', '110549', '595635', '130045', '095635', '102000', '160845', '180000', '095638', '395635', '112539', '095630', '160045', '163045', '740257', '160044', '295635', '160045', '140252', '120539', '110939', '095638', '045635', '110531', '110045', '860045', '096635', '180045', '100050', '045635', '140757', '160345', '100040', '099635', '140251', '150045', '095645', '110579', '160445', '120045', '190045', '130539', '160005', '800000', '100800', '110539', '105000', '035635', '100080', '165045', '100008', '095635', '160000', '100800', '190000', '110589', '140257', '170045', '140254', '540257', '160043', '055635', '140257', '195635', '100003', '110257', '610539', '025635', '097635', '140257', '110549', '190045', '099635', '098635', '095685', '960045', '095639', '100045']"
번호,UPT_USR_ID,"['MIG206912', 'MIG201982', 'MIR201912', 'MIF201912', 'MIG201942', 'MIG201412', 'MIG201912', 'MIG501912', 'MIG261912', 'MIG201913', 'MIG201912', 'MIG201312', 'MIW201912', 'MIG202912', 'MIL201912', 'MIQ201912', 'MIH201912', 'MIG201982', 'MIG221912', 'MIG201912', 'MIG201712', 'MIG201919', 'MQG201912', 'MID201912', 'MIG201982', 'MIG201812', 'MIG201962', 'MIG201918', 'MIG201914', 'MIZ201912', 'MIG201902', 'MIG501912', 'MIW201912', 'MIG201982', 'MIG301912', 'MIW201912', 'MIG801912', 'MIG201992', 'MLG201912', 'MIG201312', 'MIG241912', 'MIG201512', 'MIG301912', 'MIG291912', 'MAG201912', 'MIG201912', 'MIK201912', 'MIG204912', 'MIG201412', 'MIG201922', 'MIG101912', 'MDG201912', 'VIG201912', 'MIG261912', 'MIE201912', 'MIG201910', 'MIG201812', 'VIG201912', 'MIG201911', 'MIG209912', 'MIG201942', 'KIG201912', 'MIG201919', 'MIG201812', 'MIK201912', 'MQG201912', 'MIG201972', 'CIG201912', 'MIG201910', 'MIG201512', 'MIS201912', 'MII201912', 'JIG201912', 'MXG201912', 'MIG201912', 'MIG201512', 'MIG201912', 'MIG201910', 'MIG201915', 'MIG202912', 'MIG201910', 'MFG201912', 'MIG201212', 'MIG241912', 'MIG201812', 'MIG901912', 'MIG201942', 'MIG261912', 'QIG201912', 'OIG201912', 'NIG201912', 'LIG201912', 'MIG281912', 'MIG201712', 'MIG201612', 'MIG001912', 'MIY201912', 'MIG201912', 'MIG204912', 'NIG201912']"
날짜,UPT_DT,"['20171004', '20191708', '10191008', '20300108', '20197926', '20191008', '23190926', '40191008', '20191037', '26191004', '20192007', '20190926', '20191027', '20101008', '20191028', '20191807', '80191004', '20191608', '24191007', '20191077', '20180926', '20190126', '20291007', '20101008', '20490926', '20190927', '20191018', '27190926', '20171007', '20190926', '20191104', '20200508', '30191004', '20191000', '20190928', '20220108', '20141007', '30200108', '20190986', '26191004', '20200008', '20200008', '20290108', '28190926', '20991004', '20151008', '20191607', '20240108', '20991004', '20190626', '25190926', '20190826', '20991008', '20192004', '20191002', '20191008', '20191005', '20193004', '20890926', '20191009', '20191078', '20191807', '20194004', '20190007', '20191708', '20190924', '20194007', '20200188', '20230108', '20160926', '20790926', '20600108', '20890926', '20200108', '20491008', '20171008', '20191007', '10191004', '60191007', '20991004', '20200118', '20199004', '20200107', '20191007', '20191808', '20191007', '20200128', '60191008', '20207108', '20191098', '20190926', '20199007', '20191068', '20390926', '23190926', '20390926', '20190926', '20190026', '22191008', '20190916']"
날짜,UPT_TM,"['140045', '025635', '095935', '100000', '144257', '140251', '240257', '140539', '165045', '164045', '095635', '100200', '160095', '100000', '109000', '140045', '103000', '130000', '360045', '130045', '110534', '160043', '195635', '095135', '110534', '095335', '160095', '500000', '160745', '160085', '140252', '110939', '130539', '100700', '110535', '160000', '160045', '140254', '162045', '240257', '140657', '100000', '095625', '101000', '095675', '140247', '110559', '117539', '110533', '165045', '144257', '107000', '090635', '500000', '150000', '100005', '840257', '110599', '100040', '800000', '100040', '148257', '095655', '595635', '095639', '190045', '095645', '360045', '140857', '160257', '100700', '140257', '510539', '340257', '160005', '110839', '101000', '144257', '141257', '105000', '140457', '160040', '180539', '100600', '110532', '095635', '095635', '095835', '100004', '093635', '110439', '095935', '102000', '800000', '100003', '090635', '106000', '005635', '095035', '140657']"
번호,X_CDN,"['79', '51', '49', '67', '63', '73', '66', '55', '60', '56', '61', '21', '63', '60', '11', '67', '65', '81', '60', '63', '81', '66', '21', '81', '65', '69', '30', '72', '62', '93', '92', '69', '58', '63', '51', '59', '99', '50', '60', '69', '61', '60', '64', '49', '61', '54', '61', '69', '20', '70', '62', '82', '63', '51', '71', '40', '60', '63', '54', '33', '67', '89', '61', '21', '40', '62', '56', '53', '41', '67', '83', '63', '67', '68', '63', '19', '21', '51', '66', '65', '59', '81', '69', '90', '60', '22', '62', '62', '61', '69', '91', '62', '13', '61', '72', '64', '70', '65', '57', '66']"
번호,Y_CDN,"['14', '78', '135', '120', '54', '74', '177', '157', '186', '34', '124', '157', '77', '74', '71', '73', '74', '127', '126', '156', '127', '85', '121', '726', '77', '121', '70', '79', '225', '227', '157', '226', '78', '15', '70', '225', '15', '725', '77', '71', '157', '426', '71', '64', '54', '115', '625', '167', '826', '78', '77', '227', '95', '75', '127', '54', '123', '327', '128', '166', '74', '195', '85', '73', '122', '827', '226', '120', '84', '725', '123', '129', '84', '129', '79', '156', '116', '123', '195', '129', '165', '84', '129', '125', '825', '187', '116', '526', '24', '34', '45', '71', '74', '625', '77', '125', '197', '124', '71', '55']"
번호,SEQ,"['1', '1', '0', '8', '9', '0', '3', '5', '4', '1', '1', '2', '3', '0', '1', '4', '6', '2', '4', '5', '7', '5', '3', '1', '1', '0', '1', '0', '2', '1', '1', '5', '4', '2', '0', '6', '9', '3', '5', '6', '1', '5', '0', '5', '3', '4', '4', '5', '4', '3', '1', '1', '2', '2', '0', '0', '1', '8', '0', '4', '6', '3', '2', '6', '4', '7', '6', '9', '0', '4', '4', '0', '7', '9', '1', '7', '6', '9', '1', '9', '1', '1', '8', '0', '9', '2', '5', '2', '9', '0', '0', '1', '8', '0', '2', '5', '5', '4', '1', '1']"
,CTY,"['경턇도', '경쇩도', '경기뾅', '전라남쏅', '전라잭도', '서횆특별시', '딐상남도', '경기탼', '전쩴남도', '경뽼남도', '경상쓕도', '경롌남도', '경상남댄', '엟상북도', '경상남곤', '경놗남도', '경상북햆', '경기샫', '경상흢도', '서울특별귵', '전라읮도', '궿상남도', '경롋도', '촯상남도', '경상남썌', '경븯도', '경상남욈', '경씛도', '경즲남도', '쐂기도', '쫣울특별시', '경상남졘', '경상북둗', '경기듊', '쯝기도', '경턙북도', '쭶울특별시', '서쫳특별시', '경줎남도', '경상북맽', '경상남걝', '밎상남도', '경상줗도', '경톏도', '경상쇶도', '경상묻도', '경끓도', '쫶울특별시', '경상륟도', '경기쐲', '경상남쵻', '전라남뛪', '서울특떎시', '경상남뚍', '경떼도', '경상북뻠', '서울특별쓆', '전긐남도', '경상뇮도', '경완도', '경상콬도', '서울톆별시', '서울특뇗시', '서울특별볫', '경상텆도', '경쬲도', '서울찁별시', '서울특뒠시', '경상첣도', '경기궁', '서울탄별시', '땬울특별시', '경상칖도', '전늏남도', '좩기도', '경듘남도', '경상쒟도', '전촁남도', '춈상남도', '꿌기도', '댥기도', '전라남토', '경상남뾅', '전삝남도', '뤥상남도', '전라밲도', '경상톪도', '경즔도', '경쏩도', '뾓상남도', '전라남퐬', '전라숳도', '챩라남도', '전라남붺', '경상븢도', '경상북엔', '쟭상남도', '서울쨓별시', '줬라남도', '전라남켚']"
,SGG,"['삡구', '중됐', '서짵', '북칥', '젹구', '뎧구', '남뇮', '북꼷', '뙩구', '북숿', '쩾구', '줋구', '쁡구', '서폾', '땨구', '남넾', '샺구', '북큫', '남녍', '쓷구', '남쉩', '서꼬', '북냮', '남큕', '동뱰', '북큹', '뭧구', '즜구', '뗐구', '짡구', '촄구', '톡구', '남쇐', '서효', '동뺰', '북큂', '탫구', '쾟구', '듬구', '동뇠', '롏구', '남힃', '쳳구', '남떄', '서줡', '꿀구', '남쪼', '믗구', '쵏구', '중콛', '뫘구', '쥾구', '남먮', '찯구', '쓙구', '푧구', '남매', '꼃구', '폽구', '중칢', '북샆', '왎구', '서쳱', '땺구', '톸구', '뺪구', '옃구', '북꽳', '셝구', '동촤', '북뻻', '남텙', '중떬', '북콁', '서뻍', '서믚', '중떓', '릀구', '훋구', '퀁구', '뿧구', '팘구', '서믭', '껦구', '똖구', '빸구', '동뇱', '풊구', '중뮂', '북벬', '동댈', '중쓎', '틾구', '햦구', '랢구', '뢪구', '옱구', '남긆', '퇼구', '동탏']"
